closedAt,createdAt,number,state,title
"2026-02-17T00:21:04Z","2026-02-12T00:29:58Z",26,"CLOSED","List of Admin Permissions"
"2026-02-25T21:38:03Z","2026-02-12T00:28:00Z",25,"CLOSED","Create a flask server"
"2026-02-17T00:21:41Z","2026-02-10T00:52:52Z",24,"CLOSED","Create a burn down chart template"
"2026-02-12T00:53:08Z","2026-02-10T00:08:47Z",22,"CLOSED","prototype admin permitions and access"
"2026-02-16T14:50:17Z","2026-02-10T00:07:25Z",21,"CLOSED","prototype main gui page"
"2026-02-12T00:51:55Z","2026-02-10T00:05:54Z",20,"CLOSED","prototype login page"
"2026-02-17T00:21:26Z","2026-02-07T03:48:00Z",19,"CLOSED","Create a SvelteKit"
"2026-02-16T22:15:15Z","2026-02-05T22:50:22Z",11,"CLOSED","Obtain a location to run our front end and backend"
"2026-02-24T00:38:26Z","2026-02-05T22:27:30Z",10,"CLOSED","Key generation algorithm"
,"2026-02-05T16:20:07Z",9,"OPEN","Fill the pruduction repository with a working copy"
"2026-02-10T00:28:04Z","2026-02-05T16:16:04Z",8,"CLOSED","Build the repository permission"
"2026-02-05T16:17:51Z","2026-02-05T16:14:47Z",7,"CLOSED","Build the dev repository with sveltekit"
